name,type,thumbs_up,thumbs_down,score,ac_percent,imple_diff,concept_diff,author,cluster,year,time_limit,source_limit,mem_limit,user_ac,total_sub,total_ac,total_wa,ct_error,rt_error,total_tle
"""Shortest"" pair of paths ",classical,2,0,0.4,38.54,21,17,~!(*(@*!@^&,Cube (Intel G860),2009,0.28,50000,1536,157,475,184,167,28,35,60
"(K,N)-Knight",classical,0,1,0.25,24.25,1,1,Race with time,Cube (Intel G860),2009,0.213,50000,1536,280,1598,387,951,115,58,85
(un)Fair Play,classical,0,0,0.73,38.94,0,0,Fudan University Problem Setters,Cube (Intel G860),2007,0.5,50000,1536,69,226,88,79,14,11,34
0 0 Pairs,classical,2,0,0.11,27.02,1,1,~!(*(@*!@^&,Cube (Intel G860),2009,0.326,20000,1536,702,3912,1057,989,246,365,1249
01 Sequence,classical,0,0,0.6,30.75,0,0,Fudan University Problem Setters,Cube (Intel G860),2007,1,50000,1536,92,452,139,186,17,63,47
0110SS,classical,14,3,0.06,44.39,12,6,Azat Taryhchiyev,Cube (Intel G860),2012,0.1,50000,1536,1295,3931,1745,1387,349,243,179
100pct failure in 72 hours,classical,0,0,1.78,46.67,0,0,Francky,Cube (Intel G860),2014,3,1024,1536,4,15,7,7,0,1,0
106 miles to Chicago,classical,17,2,0.04,36.36,15,11,Adrian Kuegel,Cube (Intel G860),2005,5,50000,1536,2155,8533,3103,3636,445,840,502
111…1 Squared,classical,8,1,0.06,46.92,3,10,Bin Jin,Cube (Intel G860),2011,0.2,4096,1536,1395,3455,1621,1023,236,158,417
123 Sequence,classical,1,0,0.53,26.28,1,1,arun,Cube (Intel G860),2010,0.202,50000,1536,109,548,144,339,8,30,27
24-Puzzle,classical,0,0,1.4,23.46,0,0,Fudan University Problem Setters,Cube (Intel G860),2011,1,50000,1536,16,81,19,42,4,4,12
2D arrays with XOR property,classical,4,0,1.67,52.17,23,39,Francky,Cube (Intel G860),2016,3,50000,1536,7,23,12,2,1,2,6
2s Complement,classical,0,0,0.4,31.53,0,0,Varun Jalan,Cube (Intel G860),2011,0.378,50000,1536,160,812,256,253,59,35,209
2x2 Subgrid Sum Problem (generalized),classical,0,0,1.82,37.5,0,0,Min_25,Cube (Intel G860),2014,10,50000,1536,3,8,3,3,0,0,2
2x2 Subgrid Sum Problem (medium),classical,0,0,1.67,15.38,0,0,Min_25,Cube (Intel G860),2014,10,50000,1536,7,65,10,21,3,1,30
369 Numbers,classical,3,0,0.31,16.7,17,28,Saransh Bansal,Cube (Intel G860),2012,0.391,50000,1536,213,1970,329,755,78,69,736
